eventId	personId	total	personName	"GROUP_CONCAT(CONCAT(score,' (',competitionId,')') SEPARATOR ' + ')"
555	2008PIAU01	45	"Antoine Piau"	"10 (DinsOpen2011) + 9 (BreizhOpen2011) + 8 (BlindOpen2011) + 11 (DolmenOpen2011) + 7 (NaonedOpen2011)"
555	2008CABA03	40	"Jakub Cabaj"	"21 (GaleriesLafayetteOpen2011) + 19 (LyonOpen2011)"
555	2006JACQ01	38	"Thibaut Jacquinot"	"17 (LyonOpen2011) + 11 (FrenchOpen2011) + 10 (BreizhOpen2011)"
555	2008LEME01	37	"Pierre Lemerle"	"9 (DolmenOpen2011) + 19 (GaleriesLafayetteOpen2011) + 9 (VesoulOpen2011)"
555	2008ERBI01	34	"Guillaume Erbibou"	"14 (GaleriesLafayetteOpen2011) + 4 (NaonedOpen2011) + 7 (DolmenOpen2011) + 5 (BreizhOpen2011) + 4 (BlindOpen2011)"
555	2010BOUV01	32	"Pierre Bouvier"	"6 (MontpellierOpen2011) + 3 (NeptuneOpen2011) + 10 (LyonOpen2011) + 3 (VesoulOpen2011) + 10 (GaleriesLafayetteOpen2011)"
555	2010DESJ01	29	"Jules Desjardin"	"4 (FrenchOpen2011) + 4 (LyonOpen2011) + 12 (GaleriesLafayetteOpen2011) + 3 (NaonedOpen2011) + 5 (NeptuneOpen2011) + 1 (BlindOpen2011)"
555	2007LEMO01	28	"Laetitia Lemoine"	"10 (MontpellierOpen2011) + 7 (NeptuneOpen2011) + 7 (LyonOpen2011) + 4 (VesoulOpen2011)"
555	2009VERM01	27	"Olivier Vermersch"	"11 (GaleriesLafayetteOpen2011) + 9 (CachanOpen2011) + 7 (FrenchOpen2011)"
555	2009MARC01	25	"Alban Marchal"	"5 (VesoulOpen2011) + 14 (LyonOpen2011) + 6 (NeptuneOpen2011)"
555	2008MORE02	24	"Hippolyte Moreau"	"3 (BlindOpen2011) + 7 (DinsOpen2011) + 3 (BreizhOpen2011) + 6 (DolmenOpen2011) + 5 (NaonedOpen2011)"
555	2010KOHL02	23	"Erwan Kohler"	"12 (VesoulOpen2011) + 11 (BreizhOpen2011)"
555	2010VALO01	23	"Clément Valot"	"13 (CachanOpen2011) + 6 (NaonedOpen2011) + 4 (DinsOpen2011)"
555	2008BARA01	22	"Bence Barát"	"22 (LyonOpen2011)"
555	2005AKKE01	21	"Erik Akkersdijk"	"21 (CachanOpen2011)"
555	2009MORI05	20	"Paolo Moriello"	"20 (MontpellierOpen2011)"
555	2011PIHE01	20	"Raphaël Pihet"	"20 (GaleriesLafayetteOpen2011)"
555	2007GOUL01	19	"Joey Gouly"	"19 (CachanOpen2011)"
555	2011LELE01	19	"Gaspard Leleux"	"9 (BlindOpen2011) + 10 (DolmenOpen2011)"
555	2007POLI01	18	"Lorenzo Vigani Poli"	"18 (MontpellierOpen2011)"
555	2008POTR01	18	"Guillain Potron"	"18 (LyonOpen2011)"
555	2011CAST01	18	"Swann Castel"	"18 (CachanOpen2011)"
555	2006GALE01	17	"Arnaud van Galen"	"17 (CachanOpen2011)"
555	2008BAOY01	17	"Ting Sheng Bao Yang"	"17 (MontpellierOpen2011)"
555	2009LEVY02	17	"Hugo Lévy"	"8 (NeptuneOpen2011) + 9 (MontpellierOpen2011)"
555	2010MOFF02	17	"Zoé de Moffarts"	"12 (CachanOpen2011) + 5 (DinsOpen2011)"
555	2007WATI01	16	"Thomas Watiotienne"	"8 (MontpellierOpen2011) + 8 (GaleriesLafayetteOpen2011)"
555	2010DROU01	16	"Vincent Drouot"	"16 (GaleriesLafayetteOpen2011)"
555	2008CURU01	15	"Antton Curutchet"	"8 (LyonOpen2011) + 7 (CachanOpen2011)"
555	2009YAUR01	15	"Robert Yau"	"15 (FrenchOpen2011)"
555	2009STIE02	14	"Olivier Stietel"	"3 (DinsOpen2011) + 6 (CachanOpen2011) + 5 (GaleriesLafayetteOpen2011)"
